Scotland,29,Italy,0
France,20,Wales,18
Ireland,13,England,9
Italy,18,France,40
England,61,Scotland,21
Wales,22,Ireland,9
England,36,Italy,15
Scotland,29,Wales,13
Ireland,19,France,9
France,22,Scotland,16
Italy,10,Ireland,63
Wales,16,England,21
Italy,7,Wales,33
Scotland,27,Ireland,22
England,19,France,16
South_Africa,24,New_Zealand,25
Argentina,20,Australia,37
South_Africa,27,Australia,27
Argentina,10,New_Zealand,36
New_Zealand,39,Argentina,22
Australia,23,South_Africa,23
New_Zealand,35,Australia,29
Argentina,23,South_Africa,41
Australia,34,New_Zealand,54
South_Africa,37,Argentina,15
Italy,13,Scotland,34
South_Africa,37,France,14
Argentina,34,England,38
Scotland,24,Australia,19
South_Africa,37,France,15
England,35,Argentina,25
Australia,40,Italy,27
South_Africa,35,France,12
Australia,23,New_Zealand,18
England,21,Argentina,8
Wales,21,Australia,29
Ireland,38,South_Africa,3
France,18,New_Zealand,38
Italy,15,Argentina,31
England,30,Australia,6
Scotland,17,New_Zealand,22
France,17,South_Africa,18
Italy,6,South_Africa,35
Scotland,53,Australia,24
Wales,18,New_Zealand,33
Ireland,28,Argentina,19
Wales,24,South_Africa,22
